Id,ParentId,PropertyType,ValueType,Value
10000000-0000-0000-0000-000000000001,7acd5132-0f8b-4ae7-826e-a0d06bbe5192,DisplayName,string,7acd5132-property
10000000-0000-0000-0000-000000000002,68317706-95b6-4835-baab-0fa0e9ea2a59,DisplayName,string,68317706-property
10000000-0000-0000-0000-000000000003,a954ddae-d15a-4643-a536-efe9e567d96d,DisplayName,string,a954ddae-property
10000000-0000-0000-0000-000000000004,9820a076-f72c-4c0b-8a1a-818e29f1ed04,DisplayName,string,9820a076-property
10000000-0000-0000-0000-000000000005,ac980da0-6793-44f4-ae95-8723ab7582b2,Sequence,int,5
10000000-0000-0000-0000-000000000006,4283051e-a243-489e-a3b4-6ec7489be16d,LoadFactor,float,0.60
10000000-0000-0000-0000-000000000007,e4f5cd0c-329d-4636-be81-f17640194773,Enabled,bool,true
10000000-0000-0000-0000-000000000008,fea4b389-df27-42bf-95ec-521ed62e191c,MeasuredAt,datetime,2026-09-15T09:00:00Z
10000000-0000-0000-0000-000000000009,b1e55947-4bcb-4a30-907f-207b3e9fb52e,Offset,Vector3,"(1.0, 2.0, 3.0)"
10000000-0000-0000-0000-000000000010,6fbe0d03-b991-4df4-9423-a088e081ff50,Orientation,Quaternion,"(0.0, 0.0, 0.0, 1.0)"
10000000-0000-0000-0000-000000000011,75e8b12a-6693-4aff-aba8-cc3ea713e270,Color,Color,"(0.2, 0.4, 0.6, 1.0)"
10000000-0000-0000-0000-000000000012,5b282939-2339-4215-80b1-2802c1d0fa4b,LocalTransform,Transform,"Transform3D(1, 0, 0, 0, 1, 0, 0, 0, 1, 10, 20, 30)"
10000000-0000-0000-0000-000000000013,14ebb6b9-4dc6-4a2d-b7fd-7f3730f95c90,DisplayName,string,14ebb6b9-property
10000000-0000-0000-0000-000000000014,2c4fb4fa-2045-4906-9d69-07ea6f93b9d5,DisplayName,string,2c4fb4fa-property
10000000-0000-0000-0000-000000000015,81759a38-3622-40c2-8886-e57a3ed0f9a1,Sequence,int,15
10000000-0000-0000-0000-000000000016,70b94563-91ec-4546-9301-df808071c152,LoadFactor,float,1.60
10000000-0000-0000-0000-000000000017,bcb01a04-7cdb-4f98-8ef6-738b5fe054ab,Enabled,bool,false
10000000-0000-0000-0000-000000000018,048c6e7c-c9d9-4104-8571-53713097ac2a,MeasuredAt,datetime,2026-09-15T18:00:00Z
10000000-0000-0000-0000-000000000019,414af6b1-828a-4271-ac46-06d73d0dfb48,Offset,Vector3,"(-1.0, 2.0, -3.0)"
10000000-0000-0000-0000-000000000020,aab9f7c4-9339-4601-91e1-8fbde00b072c,Orientation,Quaternion,"(0.0, 0.7071, 0.0, 0.7071)"
10000000-0000-0000-0000-000000000021,ddf375bb-dd68-4cfd-b8a7-112c6462669d,Color,Color,"(0.8, 0.3, 0.1, 1.0)"
10000000-0000-0000-0000-000000000022,ff76421c-6ba7-4335-801c-3c8fd6684a7b,LocalTransform,Transform,"Transform3D(1, 0, 0, 0, 1, 0, 0, 0, 1, -10, 5, 2)"
10000000-0000-0000-0000-000000000023,02ddf0e2-b355-492d-aede-c14c83d92705,DisplayName,string,02ddf0e2-property
10000000-0000-0000-0000-000000000024,d2ab4cb5-914b-4ae2-a830-81be9616f3a2,DisplayName,string,d2ab4cb5-property
10000000-0000-0000-0000-000000000025,084cdcb3-51dc-4c3d-8cb7-6e615f2a0060,Sequence,int,25
10000000-0000-0000-0000-000000000026,6da8e10e-f9da-4366-91b4-48e049830982,LoadFactor,float,2.60
10000000-0000-0000-0000-000000000027,bf138455-be68-41a2-99b1-6bf08de1893d,Enabled,bool,true
10000000-0000-0000-0000-000000000028,181fa24f-2274-4415-b05b-dd2542cbf900,MeasuredAt,datetime,2026-09-16T09:00:00Z
10000000-0000-0000-0000-000000000029,680a5b36-c288-4a60-9fe0-69ae39bfc387,Offset,Vector3,"(4.0, 5.0, 6.0)"
10000000-0000-0000-0000-000000000030,62bf6caf-5c5c-4136-b9f3-ed3dc05b4794,Orientation,Quaternion,"(0.3827, 0.0, 0.0, 0.9239)"
10000000-0000-0000-0000-000000000031,38dbbbff-cc02-4bc5-814f-246bc17bae19,Color,Color,"(0.1, 0.7, 0.4, 1.0)"
10000000-0000-0000-0000-000000000032,2b3b97b5-9052-4595-a58c-b62280ed3b42,LocalTransform,Transform,"Transform3D(1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 10)"
10000000-0000-0000-0000-000000000033,d64d06f9-6dc2-45dd-a771-974912800363,DisplayName,string,d64d06f9-property
10000000-0000-0000-0000-000000000034,a3882493-deb5-4758-8660-3f9883669cf0,DisplayName,string,a3882493-property
10000000-0000-0000-0000-000000000035,936283c5-8178-4329-8cc3-2bee8e58523c,Sequence,int,35
10000000-0000-0000-0000-000000000036,60f2034e-53a7-4141-9f4c-b4ff0ecab1dd,LoadFactor,float,3.60
10000000-0000-0000-0000-000000000037,26926d6b-45c8-4647-8ea5-b1167ff1dffe,Enabled,bool,false
10000000-0000-0000-0000-000000000038,9ec7599a-782d-4773-a075-9551f1c95990,MeasuredAt,datetime,2026-09-16T18:00:00Z
10000000-0000-0000-0000-000000000039,9e7a60cf-cf96-41a9-bdc1-7e9fab72cad8,Offset,Vector3,"(-4.0, -5.0, 6.0)"
10000000-0000-0000-0000-000000000040,0c48a500-5037-4515-9025-56a5665e4274,Orientation,Quaternion,"(0.0, 0.0, 0.7071, 0.7071)"
20000000-0000-0000-0000-000000000001,7acd5132-0f8b-4ae7-826e-a0d06bbe5192,Category,string,SampleInstance
20000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000001,Revision,int,1
20000000-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000002,Threshold,float,0.25
20000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000003,Visible,bool,true
20000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000004,CreatedAt,datetime,2026-09-15T12:34:56Z
20000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000005,Direction,Vector3,"(0.0, 1.0, 0.0)"
20000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000006,Rotation,Quaternion,"(0.0, 0.0, 0.0, 1.0)"
20000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000007,Tint,Color,"(1.0, 0.5, 0.0, 1.0)"
20000000-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000008,Transform,Transform,"Transform3D(1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 3)"
